Year,Item Hierarchy Type,Producing unit quantity,Production quantity,yield growth
2016,Dairy and egg,8283714739.0,897921337.0,0.011605239223551306
2016,Fruits and nuts,62285623.0,657411970.0,0.09682618791105035
2016,Meat and meat products,4680370127.0,202305352.0,3.7854255582642216e-05
2016,Vegetables,28005976.0,748202871.0,0.2717913779554735
2017,Cereals,713833086.0,2945290544.0,0.05250770543225247
2017,Dairy and egg,8373966463.0,923021591.0,0.0018291607012891758
2017,Fruits and nuts,62438551.0,666407480.0,0.11821841189467008
2017,Meat and meat products,4693950994.0,204719854.0,0.0003893265199994972
2017,Vegetables,28170735.0,756673982.0,0.1444562131290752
2018,Cereals,706060212.0,2886754106.0,-0.03748319700674152
2018,Dairy and egg,8415447174.0,947692564.0,0.002388317053062236
2018,Fruits and nuts,63479750.0,688256057.0,0.16912237859625634
2018,Meat and meat products,4727290277.0,205190692.0,-0.00020798519671576948
2018,Vegetables,28370877.0,764777768.0,0.09615193635609387
2019,Cereals,705504842.0,2946878060.0,0.08843965584986258
2019,Dairy and egg,8589600978.0,961791981.0,-0.0006417811745879493
2019,Fruits and nuts,65624041.0,704154544.0,-0.11200478763413102
2019,Meat and meat products,4464659004.0,195098660.0,0.0002928837445459187
2019,Vegetables,28480494.0,778134808.0,0.36523791366149183
2020,Cereals,721859348.0,2980950471.0,-0.0474330595306558
2020,Dairy and egg,8586381842.0,974170132.0,0.0014835821739414834
2020,Fruits and nuts,66156743.0,708889007.0,-0.014835965262639306
2020,Meat and meat products,4814223121.0,195423861.0,-0.003105424755687841
2020,Vegetables,28732274.0,791794496.0,0.2359937332422355
