,Area,Item,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
1941,Armenia,"Cereals, Total",595757.0,598966.0,298029.0,334342.0,195063.0,242012.0
2349,Australia,"Cereals, Total",18347386.0,16976709.0,18715950.0,16632912.0,16528043.0,16124592.0
2350,Australia,"Cereals, Total",20273.0,20752.0,26742.0,20358.0,17689.0,16505.0
2351,Australia,"Cereals, Total",37195915.0,35229824.0,50049336.0,33860457.0,29236374.0,26613793.0
2735,Austria,"Cereals, Total",783127.0,786831.0,778650.0,778940.0,776400.0,764890.0
2736,Austria,"Cereals, Total",61981.0,72464.0,62606.0,61458.0,69543.0,73864.0
2737,Austria,"Cereals, Total",4853896.0,5701698.0,4874849.0,4787200.0,5399310.0,5649770.0
3057,Azerbaijan,"Cereals, Total",940007.0,986997.0,960558.0,1057528.0,1058911.0,979424.0
3058,Azerbaijan,"Cereals, Total",30836.0,30047.0,29405.0,30087.0,32267.0,32174.0
3059,Azerbaijan,"Cereals, Total",2898559.0,2965670.0,2824527.0,3181819.0,3416765.0,3151182.0
3238,Bahamas,"Cereals, Total",72.0,85.0,83.0,80.0,83.0,82.0
3239,Bahamas,"Cereals, Total",82917.0,77529.0,78072.0,79250.0,77952.0,78415.0
3240,Bahamas,"Cereals, Total",597.0,659.0,648.0,634.0,647.0,643.0
3730,Bangladesh,"Cereals, Total",12156367.0,11793602.0,12430005.0,12275642.0,12301960.0,12233631.0
3731,Bangladesh,"Cereals, Total",45604.0,46010.0,47060.0,47910.0,48108.0,49013.0
3732,Bangladesh,"Cereals, Total",55438379.0,54262297.0,58495624.0,58812144.0,59182139.0,59960399.0
3928,Barbados,"Cereals, Total",45.0,35.0,26.0,39.0,15.0,4.0
3929,Barbados,"Cereals, Total",27111.0,27429.0,28462.0,27949.0,28000.0,30000.0
3930,Barbados,"Cereals, Total",122.0,96.0,74.0,109.0,42.0,12.0
4194,Belarus,"Cereals, Total",2218602.0,2206134.0,2241784.0,2134358.0,2258670.0,2374010.0
4195,Belarus,"Cereals, Total",36902.0,32073.0,33587.0,27239.0,30956.0,35399.0
4196,Belarus,"Cereals, Total",8186980.0,7075658.0,7529412.0,5813781.0,6991979.0,8403688.0
4554,Belgium,"Cereals, Total",321445.0,327535.0,305433.0,304520.0,313110.0,304340.0
4555,Belgium,"Cereals, Total",98422.0,69848.0,90507.0,79831.0,89885.0,84309.0
4556,Belgium,"Cereals, Total",3163733.0,2287774.0,2764392.0,2431020.0,2814390.0,2565860.0
4842,Belgium-Luxembourg,"Cereals, Total",,,,,,
4843,Belgium-Luxembourg,"Cereals, Total",,,,,,
4844,Belgium-Luxembourg,"Cereals, Total",,,,,,
5080,Belize,"Cereals, Total",27938.0,28932.0,27991.0,24567.0,28886.0,31763.0
5081,Belize,"Cereals, Total",28978.0,31646.0,42291.0,40437.0,29465.0,35263.0
5082,Belize,"Cereals, Total",80959.0,91557.0,118376.0,99341.0,85114.0,112007.0
5321,Benin,"Cereals, Total",1229297.0,1246201.0,1350154.0,1624578.0,1758746.0,1537675.0
5322,Benin,"Cereals, Total",13367.0,14559.0,14054.0,14285.0,12383.0,14328.0
5323,Benin,"Cereals, Total",1643227.0,1814289.0,1897504.0,2320756.0,2177783.0,2203105.0
5587,Bhutan,"Cereals, Total",50532.0,52229.0,56458.0,36802.0,33514.0,30015.0
5588,Bhutan,"Cereals, Total",34757.0,33734.0,34130.0,34170.0,30821.0,34415.0
5589,Bhutan,"Cereals, Total",175635.0,176187.0,192689.0,125751.0,103293.0,103298.0
5951,Bolivia,"Cereals, Total",1287146.0,1260291.0,1234818.0,1400134.0,1434439.0,1439926.0
5952,Bolivia,"Cereals, Total",22802.0,21113.0,18456.0,23337.0,20301.0,20240.0
5953,Bolivia,"Cereals, Total",2934919.0,2660808.0,2278993.0,3267427.0,2912082.0,2914459.0
6279,Bosnia and Herz.,"Cereals, Total",298319.0,319268.0,312698.0,317749.0,311152.0,321317.0
6280,Bosnia and Herz.,"Cereals, Total",38121.0,51917.0,37321.0,54879.0,53547.0,60507.0
6281,Bosnia and Herz.,"Cereals, Total",1137236.0,1657556.0,1167005.0,1743762.0,1666131.0,1944178.0
6469,Botswana,"Cereals, Total",46855.0,99749.0,73423.0,147317.0,71904.0,156886.0
6470,Botswana,"Cereals, Total",9384.0,4716.0,3184.0,5497.0,6752.0,10336.0
6471,Botswana,"Cereals, Total",43967.0,47045.0,23376.0,80978.0,48548.0,162158.0
6846,Brazil,"Cereals, Total",21202900.0,20127615.0,22645479.0,21482693.0,22775853.0,23891692.0
6847,Brazil,"Cereals, Total",50006.0,41817.0,52097.0,48067.0,53216.0,52557.0
6848,Brazil,"Cereals, Total",106026685.0,84166682.0,117977014.0,103260129.0,121202845.0,125568280.0
7045,Brunei,"Cereals, Total",924.0,1013.0,920.0,783.0,773.0,853.0
7046,Brunei,"Cereals, Total",21461.0,15587.0,16598.0,20038.0,19405.0,29437.0
7047,Brunei,"Cereals, Total",1983.0,1579.0,1527.0,1569.0,1500.0,2511.0
7524,Bulgaria,"Cereals, Total",1835350.0,1816636.0,1729267.0,1817770.0,1927560.0,1966050.0
7525,Bulgaria,"Cereals, Total",46696.0,48178.0,54797.0,55617.0,57747.0,43734.0
7526,Bulgaria,"Cereals, Total",8570299.0,8752219.0,9475846.0,10109850.0,11130990.0,8598290.0
7771,Burkina Faso,"Cereals, Total",3584230.0,4017586.0,4026919.0,4495791.0,4272785.0,4377000.0
7772,Burkina Faso,"Cereals, Total",11689.0,11368.0,10090.0,11523.0,11561.0,11704.0
7773,Burkina Faso,"Cereals, Total",4189665.0,4567066.0,4063197.0,5180702.0,4939630.0,5122798.0
7990,Burundi,"Cereals, Total",215634.0,315399.0,333248.0,347245.0,378026.0,354619.0
7991,Burundi,"Cereals, Total",12042.0,14830.0,11255.0,13233.0,14465.0,13143.0
7992,Burundi,"Cereals, Total",259662.0,467751.0,375075.0,459525.0,546812.0,466067.0
8173,Cabo Verde,"Cereals, Total",31386.0,31698.0,31699.0,31698.0,27581.0,27581.0
8174,Cabo Verde,"Cereals, Total",2765.0,1780.0,1.0,227.0,232.0,157.0
8175,Cabo Verde,"Cereals, Total",8677.0,5642.0,4.0,719.0,640.0,432.0
8370,Cambodia,"Cereals, Total",2881799.0,3023451.0,3118124.0,3274674.0,3133531.0,3092508.0
8371,Cambodia,"Cereals, Total",33781.0,35109.0,36137.0,37024.0,37597.0,38512.0
8372,Cambodia,"Cereals, Total",9735000.0,10615000.0,11268000.0,12124000.0,11781000.0,11910000.0
8696,Cameroon,"Cereals, Total",2256907.0,2311007.0,2169169.0,2236889.0,2249083.0,2247191.0
8697,Cameroon,"Cereals, Total",16153.0,16533.0,16706.0,16529.0,16534.0,16613.0
8698,Cameroon,"Cereals, Total",3645513.0,3820815.0,3623844.0,3697407.0,3718722.0,3733173.0
9017,Canada,"Cereals, Total",14582900.0,13895831.0,13830500.0,15001900.0,15327000.0,15937000.0
9018,Canada,"Cereals, Total",36730.0,42391.0,41048.0,39146.0,40108.0,40794.0
9019,Canada,"Cereals, Total",53563000.0,58905768.0,56770935.0,58726900.0,61473900.0,65013700.0
9235,Central African Rep.,"Cereals, Total",148750.0,162472.0,158382.0,160888.0,162551.0,166734.0
9236,Central African Rep.,"Cereals, Total",8841.0,8798.0,8966.0,8826.0,8626.0,8162.0
9237,Central African Rep.,"Cereals, Total",131506.0,142936.0,142000.0,142000.0,140211.0,136095.0
9446,Chad,"Cereals, Total",3058448.0,3401981.0,3292418.0,3384176.0,3300719.0,3324147.0
9447,Chad,"Cereals, Total",8019.0,8447.0,8252.0,8930.0,8863.0,8671.0
9448,Chad,"Cereals, Total",2452528.0,2873660.0,2716901.0,3021972.0,2925292.0,2882262.0
9804,Chile,"Cereals, Total",534984.0,564637.0,511937.0,512164.0,460176.0,441722.0
9805,Chile,"Cereals, Total",70823.0,68582.0,67808.0,71464.0,71593.0,62478.0
9806,Chile,"Cereals, Total",3788922.0,3872403.0,3471368.0,3660144.0,3294526.0,2759792.0
10565,China; Hong Kong SAR,"Cereals, Total",0.0,0.0,0.0,0.0,0.0,0.0
10566,China; Hong Kong SAR,"Cereals, Total",,,,,,
10567,China; Hong Kong SAR,"Cereals, Total",0.0,0.0,0.0,0.0,0.0,0.0
11204,China,"Cereals, Total",103281871.0,102133380.0,100491670.0,99389258.0,97777574.0,97770533.0
11205,China,"Cereals, Total",59852.0,60186.0,61107.0,61266.0,62672.0,62955.0
11206,China,"Cereals, Total",618165315.0,614697470.0,614076812.0,608917809.0,612794486.0,615518145.0
11584,Taiwan,"Cereals, Total",285095.0,309058.0,309921.0,304831.0,304663.0,298280.0
11585,Taiwan,"Cereals, Total",61669.0,56904.0,62844.0,70002.0,64923.0,65872.0
11586,Taiwan,"Cereals, Total",1758161.0,1758649.0,1947667.0,2133874.0,1977974.0,1964833.0
11970,Colombia,"Cereals, Total",929600.0,1010007.0,987188.0,932013.0,914103.0,968952.0
11971,Colombia,"Cereals, Total",43017.0,43532.0,47080.0,46663.0,48507.0,50829.0
11972,Colombia,"Cereals, Total",3998890.0,4396731.0,4647650.0,4349018.0,4434081.0,4925126.0
12133,Comoros,"Cereals, Total",27005.0,26367.0,26656.0,26676.0,26566.0,26632.0
12134,Comoros,"Cereals, Total",13516.0,14146.0,13755.0,13803.0,13901.0,13820.0
12135,Comoros,"Cereals, Total",36500.0,37300.0,36666.0,36822.0,36929.0,36806.0
12365,Congo,"Cereals, Total",33139.0,34173.0,34679.0,34462.0,35221.0,34315.0
12366,Congo,"Cereals, Total",8335.0,8456.0,8593.0,8691.0,8879.0,8844.0
12367,Congo,"Cereals, Total",27621.0,28897.0,29798.0,29950.0,31272.0,30347.0
12802,Costa Rica,"Cereals, Total",53193.0,53124.0,42769.0,46958.0,42030.0,45183.0
12803,Costa Rica,"Cereals, Total",38316.0,40261.0,37310.0,42102.0,40524.0,33571.0
12804,Costa Rica,"Cereals, Total",203816.0,213880.0,159571.0,197701.0,170322.0,151685.0
13097,Côte d'Ivoire,"Cereals, Total",1503735.0,1423194.0,1445637.0,1420832.0,1386409.0,1274234.0
13098,Côte d'Ivoire,"Cereals, Total",22003.0,22198.0,22761.0,22621.0,22643.0,22109.0
13099,Côte d'Ivoire,"Cereals, Total",3308600.0,3159200.0,3290400.0,3214062.0,3139196.0,2817182.0
13488,Croatia,"Cereals, Total",492151.0,536172.0,466212.0,459710.0,490870.0,535770.0
13489,Croatia,"Cereals, Total",56950.0,66655.0,57048.0,70556.0,71573.0,69924.0
13490,Croatia,"Cereals, Total",2802791.0,3573872.0,2659648.0,3243520.0,3513320.0,3746320.0
13759,Cuba,"Cereals, Total",267044.0,316736.0,275444.0,282416.0,248176.0,204382.0
13760,Cuba,"Cereals, Total",29646.0,29393.0,28543.0,28765.0,28331.0,25723.0
13761,Cuba,"Cereals, Total",791666.0,930968.0,786203.0,812374.0,703097.0,525731.0
14148,Cyprus,"Cereals, Total",32846.0,23289.0,19879.0,24020.0,23070.0,31970.0
14149,Cyprus,"Cereals, Total",26830.0,4363.0,18027.0,10529.0,26563.0,23685.0
14150,Cyprus,"Cereals, Total",88127.0,10161.0,35836.0,25290.0,61280.0,75720.0
14544,Czechia,"Cereals, Total",1392344.0,1361499.0,1357136.0,1338780.0,1352540.0,1344870.0
14545,Czechia,"Cereals, Total",58806.0,63170.0,54975.0,52069.0,56532.0,60427.0
14546,Czechia,"Cereals, Total",8187774.0,8600551.0,7460864.0,6970920.0,7646150.0,8126660.0
14889,Czechoslovakia,"Cereals, Total",,,,,,
14890,Czechoslovakia,"Cereals, Total",,,,,,
14891,Czechoslovakia,"Cereals, Total",,,,,,
15112,North Korea,"Cereals, Total",1226456.0,1219567.0,1206589.0,1206493.0,1300579.0,1341256.0
15113,North Korea,"Cereals, Total",36540.0,40797.0,40151.0,35105.0,43856.0,34762.0
15114,North Korea,"Cereals, Total",4481458.0,4975484.0,4844635.0,4235335.0,5703884.0,4662527.0
15384,Dem. Rep. Congo,"Cereals, Total",4058928.0,4192617.0,4388331.0,4434505.0,4440653.0,4140319.0
15385,Dem. Rep. Congo,"Cereals, Total",7689.0,7793.0,7886.0,7973.0,8060.0,8577.0
15386,Dem. Rep. Congo,"Cereals, Total",3120940.0,3267141.0,3460783.0,3535639.0,3579216.0,3551147.0
15713,Denmark,"Cereals, Total",1459400.0,1471275.0,1449769.0,1416280.0,1373650.0,1366920.0
15714,Denmark,"Cereals, Total",68847.0,62220.0,69165.0,48888.0,69289.0,69263.0
15715,Denmark,"Cereals, Total",10047500.0,9154326.0,10027261.0,6923900.0,9517830.0,9467690.0
15843,Djibouti,"Cereals, Total",9.0,8.0,9.0,9.0,9.0,9.0
15844,Djibouti,"Cereals, Total",20000.0,21250.0,18889.0,18889.0,18889.0,18889.0
15845,Djibouti,"Cereals, Total",18.0,17.0,17.0,17.0,17.0,17.0
16031,Dominica,"Cereals, Total",118.0,118.0,119.0,118.0,117.0,117.0
16032,Dominica,"Cereals, Total",16017.0,15932.0,16134.0,16271.0,16496.0,16496.0
16033,Dominica,"Cereals, Total",189.0,188.0,192.0,192.0,193.0,193.0
16322,Dominican Rep.,"Cereals, Total",184342.0,190251.0,200873.0,219425.0,208491.0,218128.0
16323,Dominican Rep.,"Cereals, Total",51098.0,47281.0,47304.0,46071.0,46525.0,45565.0
16324,Dominican Rep.,"Cereals, Total",941950.0,899525.0,950213.0,1010916.0,970003.0,993899.0
16712,Ecuador,"Cereals, Total",824687.0,705777.0,743087.0,687967.0,604554.0,686896.0
16713,Ecuador,"Cereals, Total",43229.0,37918.0,34154.0,39394.0,43289.0,39157.0
16714,Ecuador,"Cereals, Total",3565065.0,2676163.0,2537922.0,2710163.0,2617067.0,2689665.0
17121,Egypt,"Cereals, Total",3251394.0,3224925.0,3096162.0,2590900.0,3624813.0,3607092.0
17122,Egypt,"Cereals, Total",71173.0,72515.0,74030.0,67786.0,60455.0,61879.0
17123,Egypt,"Cereals, Total",23141275.0,23385497.0,22920861.0,17562759.0,21913681.0,22320185.0
17385,El Salvador,"Cereals, Total",373447.0,390803.0,354028.0,343550.0,331804.0,368680.0
17386,El Salvador,"Cereals, Total",22881.0,27455.0,29097.0,23797.0,27770.0,27639.0
17387,El Salvador,"Cereals, Total",854471.0,1072962.0,1030124.0,817563.0,921410.0,1019000.0
17678,Eritrea,"Cereals, Total",477880.0,474686.0,475977.0,476181.0,475615.0,475924.0
17679,Eritrea,"Cereals, Total",6424.0,6397.0,6406.0,6409.0,6404.0,6407.0
17680,Eritrea,"Cereals, Total",306990.0,303673.0,304923.0,305195.0,304597.0,304905.0
18021,Estonia,"Cereals, Total",350400.0,351354.0,330677.0,350430.0,364370.0,370120.0
18022,Estonia,"Cereals, Total",43816.0,26584.0,39673.0,26249.0,44586.0,44115.0
18023,Estonia,"Cereals, Total",1535300.0,934051.0,1311893.0,919830.0,1624580.0,1632790.0
18220,Eswatini,"Cereals, Total",67150.0,29045.0,69449.0,91380.0,76955.0,70337.0
18221,Eswatini,"Cereals, Total",12597.0,12249.0,12474.0,12665.0,12697.0,12755.0
18222,Eswatini,"Cereals, Total",84590.0,35578.0,86632.0,115729.0,97707.0,89715.0
18585,Ethiopia,"Cereals, Total",11018260.0,11303228.0,11327016.0,10390466.0,10478217.0,10571534.0
18586,Ethiopia,"Cereals, Total",23449.0,23522.0,25394.0,27298.0,28318.0,28613.0
18587,Ethiopia,"Cereals, Total",25837228.0,26587342.0,28763752.0,28364295.0,29672647.0,30248751.0
18893,Ethiopia PDR,"Cereals, Total",,,,,,
18894,Ethiopia PDR,"Cereals, Total",,,,,,
18895,Ethiopia PDR,"Cereals, Total",,,,,,
19167,Fiji,"Cereals, Total",2476.0,3179.0,3354.0,2759.0,2390.0,2884.0
19168,Fiji,"Cereals, Total",30000.0,30013.0,30015.0,30022.0,30008.0,34452.0
19169,Fiji,"Cereals, Total",7428.0,9541.0,10067.0,8283.0,7172.0,9936.0
19490,Finland,"Cereals, Total",1019800.0,998100.0,864500.0,906800.0,948000.0,951600.0
19491,Finland,"Cereals, Total",36139.0,35733.0,39579.0,30527.0,42575.0,35893.0
19492,Finland,"Cereals, Total",3685494.0,3566470.0,3421643.0,2768190.0,4036110.0,3415550.0
19948,France,"Cereals, Total",9626902.0,9597185.0,9406524.0,9055320.0,9394040.0,8904740.0
19949,France,"Cereals, Total",75700.0,56682.0,73067.0,68291.0,74919.0,63842.0
19950,France,"Cereals, Total",72875853.0,54398704.0,68730245.0,61839480.0,70378890.0,56849840.0
20140,French Guyana,"Cereals, Total",,,,,,
20141,French Guyana,"Cereals, Total",,,,,,
20142,French Guyana,"Cereals, Total",,,,,,
20501,Gabon,"Cereals, Total",28531.0,28927.0,28534.0,28660.0,28706.0,28634.0
20502,Gabon,"Cereals, Total",15918.0,15902.0,16420.0,16081.0,16134.0,16211.0
20503,Gabon,"Cereals, Total",45415.0,46000.0,46854.0,46089.0,46314.0,46419.0
20658,Gambia,"Cereals, Total",262856.0,229588.0,199586.0,164766.0,233301.0,233311.0
20659,Gambia,"Cereals, Total",7860.0,7808.0,6661.0,6820.0,4491.0,7448.0
20660,Gambia,"Cereals, Total",206609.0,179272.0,132939.0,112365.0,104778.0,173776.0
20948,Georgia,"Cereals, Total",185472.0,171486.0,149339.0,146535.0,146355.0,155744.0
20949,Georgia,"Cereals, Total",19594.0,25145.0,19771.0,25313.0,25379.0,26475.0
20950,Georgia,"Cereals, Total",363416.0,431207.0,295251.0,370928.0,371431.0,412339.0
21346,Germany,"Cereals, Total",6517500.0,6316300.0,6266500.0,6141600.0,6372600.0,6065200.0
21347,Germany,"Cereals, Total",74978.0,71821.0,72699.0,61789.0,69520.0,71333.0
21348,Germany,"Cereals, Total",48866800.0,45364400.0,45556800.0,37948100.0,44302400.0,43265100.0
21614,Ghana,"Cereals, Total",1504191.0,1518802.0,1635049.0,1905275.0,2304547.0,2374012.0
21615,Ghana,"Cereals, Total",18303.0,18424.0,19123.0,18756.0,18919.0,19250.0
21616,Ghana,"Cereals, Total",2753194.0,2798251.0,3126784.0,3573625.0,4360040.0,4570041.0
22085,Greece,"Cereals, Total",1019536.0,938176.0,853072.0,787980.0,728140.0,739890.0
22086,Greece,"Cereals, Total",42149.0,42235.0,43172.0,37996.0,40435.0,41971.0
22087,Greece,"Cereals, Total",4297232.0,3962383.0,3682861.0,2993980.0,2944220.0,3105370.0
22311,Grenada,"Cereals, Total",353.0,389.0,385.0,376.0,383.0,381.0
22312,Grenada,"Cereals, Total",10028.0,9974.0,9974.0,10000.0,10000.0,10000.0
22313,Grenada,"Cereals, Total",354.0,388.0,384.0,376.0,383.0,381.0
22551,Guadeloupe,"Cereals, Total",,,,,,
22552,Guadeloupe,"Cereals, Total",,,,,,
22553,Guadeloupe,"Cereals, Total",,,,,,
22869,Guatemala,"Cereals, Total",916400.0,922970.0,946308.0,959078.0,903074.0,903400.0
22870,Guatemala,"Cereals, Total",21157.0,21523.0,21533.0,21533.0,21674.0,21971.0
22871,Guatemala,"Cereals, Total",1938866.0,1986485.0,2037704.0,2065221.0,1957346.0,1984853.0
23097,Guinea,"Cereals, Total",3147605.0,3157882.0,3239920.0,3295749.0,3378777.0,3509266.0
23098,Guinea,"Cereals, Total",11224.0,11555.0,11650.0,11867.0,12686.0,13299.0
23099,Guinea,"Cereals, Total",3532856.0,3648811.0,3774616.0,3911040.0,4286357.0,4666854.0
23296,Guinea-Bissau,"Cereals, Total",149731.0,160674.0,152521.0,161280.0,168153.0,168129.0
23297,Guinea-Bissau,"Cereals, Total",13925.0,14043.0,13850.0,13926.0,14191.0,15026.0
23298,Guinea-Bissau,"Cereals, Total",208495.0,225627.0,211238.0,224596.0,238628.0,252629.0
23546,Guyana,"Cereals, Total",193922.0,153172.0,175184.0,170089.0,180744.0,188640.0
23547,Guyana,"Cereals, Total",35673.0,35153.0,36196.0,56939.0,37977.0,36659.0
23548,Guyana,"Cereals, Total",691784.0,538450.0,634104.0,968472.0,686418.0,691539.0
23816,Haiti,"Cereals, Total",538443.0,475224.0,450962.0,493222.0,243781.0,290951.0
23817,Haiti,"Cereals, Total",9344.0,10218.0,10733.0,8422.0,15993.0,12717.0
23818,Haiti,"Cereals, Total",503125.0,485572.0,484000.0,415370.0,389868.0,370000.0
24101,Honduras,"Cereals, Total",400277.0,371171.0,410961.0,427458.0,357371.0,398750.0
24102,Honduras,"Cereals, Total",18213.0,18909.0,18630.0,18510.0,18686.0,18901.0
24103,Honduras,"Cereals, Total",729021.0,701830.0,765611.0,791207.0,667782.0,753676.0
24557,Hungary,"Cereals, Total",2697704.0,2565875.0,2402083.0,2367960.0,2458460.0,2337650.0
24558,Hungary,"Cereals, Total",52434.0,64866.0,58355.0,62862.0,63658.0,66591.0
24559,Hungary,"Cereals, Total",14145172.0,16643885.0,14017280.0,14885530.0,15650010.0,15566640.0
24711,Iceland,"Cereals, Total",1455.0,2300.0,2100.0,1500.0,2200.0,1500.0
24712,Iceland,"Cereals, Total",31869.0,32126.0,35238.0,26000.0,35909.0,48580.0
24713,Iceland,"Cereals, Total",4637.0,7389.0,7400.0,3900.0,7900.0,7287.0
25116,India,"Cereals, Total",99533000.0,99020000.0,99566890.0,98093520.0,95244530.0,102057166.0
25117,India,"Cereals, Total",28567.0,30080.0,31213.0,32781.0,34049.0,32828.0
25118,India,"Cereals, Total",284333000.0,297850000.0,310782330.0,321556400.0,324300640.0,335035000.0
25463,Indonesia,"Cereals, Total",15176367.0,15044369.0,16433169.0,17058294.0,14828877.0,14612615.0
25464,Indonesia,"Cereals, Total",53138.0,51587.0,51223.0,52440.0,52054.0,52796.0
25465,Indonesia,"Cereals, Total",80643435.0,77609413.0,84176015.0,89454472.0,77190033.0,77149202.0
25908,Iran,"Cereals, Total",8182762.0,8449886.0,8800529.0,9081115.0,10847426.0,10282626.0
25909,Iran,"Cereals, Total",22310.0,26533.0,20583.0,20538.0,20793.0,21408.0
25910,Iran,"Cereals, Total",18255385.0,22419771.0,18113760.0,18650827.0,22555476.0,22012721.0
26243,Iraq,"Cereals, Total",1288713.0,1303200.0,1359359.0,977376.0,2673023.0,3484905.0
26244,Iraq,"Cereals, Total",26935.0,30753.0,27478.0,26758.0,25864.0,25496.0
26245,Iraq,"Cereals, Total",3471116.0,4007685.0,3735255.0,2615277.0,6913550.0,8885242.0
26566,Ireland,"Cereals, Total",292594.0,281290.0,272627.0,260970.0,266660.0,265640.0
26567,Ireland,"Cereals, Total",90082.0,82228.0,87836.0,68395.0,85052.0,71248.0
26568,Ireland,"Cereals, Total",2635749.0,2312985.0,2394646.0,1784900.0,2267990.0,1892640.0
26952,Israel,"Cereals, Total",64622.0,54248.0,54381.0,61231.0,50813.0,64388.0
26953,Israel,"Cereals, Total",49789.0,48349.0,31959.0,24611.0,36234.0,38168.0
26954,Israel,"Cereals, Total",321746.0,262284.0,173798.0,150693.0,184118.0,245755.0
27435,Italy,"Cereals, Total",3275506.0,3253985.0,3140579.0,3092700.0,3066520.0,3011730.0
27436,Italy,"Cereals, Total",54022.0,55990.0,51748.0,53508.0,53362.0,56265.0
27437,Italy,"Cereals, Total",17694875.0,18219221.0,16251718.0,16548350.0,16363450.0,16945440.0
27718,Jamaica,"Cereals, Total",2069.0,2159.0,2185.0,1896.0,1829.0,1811.0
27719,Jamaica,"Cereals, Total",11431.0,10903.0,11625.0,11482.0,11258.0,11143.0
27720,Jamaica,"Cereals, Total",2365.0,2354.0,2540.0,2177.0,2059.0,2018.0
28119,Japan,"Cereals, Total",1922104.0,1906923.0,1894126.0,1807317.0,1809023.0,1805322.0
28120,Japan,"Cereals, Total",63167.0,62534.0,62845.0,64047.0,65395.0,60503.0
28121,Japan,"Cereals, Total",12141378.0,11924735.0,11903638.0,11575317.0,11830030.0,10922778.0
28455,Jordan,"Cereals, Total",62765.0,55078.0,48686.0,55623.0,69570.0,55667.0
28456,Jordan,"Cereals, Total",15187.0,18005.0,20394.0,15243.0,16418.0,17102.0
28457,Jordan,"Cereals, Total",95323.0,99170.0,99289.0,84784.0,114217.0,95201.0
28806,Kazakhstan,"Cereals, Total",14542276.0,15144296.0,14854953.0,14724656.0,15159017.0,15663732.0
28807,Kazakhstan,"Cereals, Total",12781.0,13477.0,13550.0,13592.0,11542.0,12883.0
28808,Kazakhstan,"Cereals, Total",18585932.0,20410625.0,20129018.0,20014092.0,17497097.0,20179388.0
29218,Kenya,"Cereals, Total",2551453.0,2814068.0,2602671.0,2811945.0,2874270.0,2702555.0
29219,Kenya,"Cereals, Total",17727.0,13831.0,14259.0,17091.0,16078.0,18062.0
29220,Kenya,"Cereals, Total",4523083.0,3892022.0,3711085.0,4805973.0,4621302.0,4881292.0
29491,Kuwait,"Cereals, Total",1423.0,1007.0,1079.0,1070.0,1781.0,2005.0
29492,Kuwait,"Cereals, Total",65439.0,52205.0,56562.0,104832.0,176204.0,103182.0
29493,Kuwait,"Cereals, Total",9312.0,5257.0,6103.0,11217.0,31382.0,20688.0
29851,Kyrgyzstan,"Cereals, Total",584652.0,568150.0,556326.0,563996.0,563869.0,583204.0
29852,Kyrgyzstan,"Cereals, Total",29990.0,31042.0,30934.0,31622.0,32339.0,32604.0
29853,Kyrgyzstan,"Cereals, Total",1753400.0,1763628.0,1720954.0,1783480.0,1823520.0,1901476.0
30080,Laos,"Cereals, Total",1219177.0,1232237.0,1163324.0,1013794.0,958979.0,1021188.0
30081,Laos,"Cereals, Total",46082.0,46267.0,44977.0,45042.0,45133.0,47370.0
30082,Laos,"Cereals, Total",5618250.0,5701160.0,5232304.0,4566380.0,4328125.0,4837336.0
30427,Latvia,"Cereals, Total",669500.0,706100.0,633500.0,679800.0,733900.0,750000.0
